gene	transcript	protein_change	score	pvalue	qvalue	info
C12orf50	NA	NA	NA	NA	1	NA
C12orf55	NA	NA	NA	NA	1	NA
C14orf39	NA	NA	NA	NA	1	NA
C15orf39	NA	NA	NA	NA	1	NA
C15orf52	NA	NA	NA	NA	1	NA
C16orf62	NA	NA	NA	NA	1	NA
C1orf116	NA	NA	NA	NA	1	NA
C1orf168	NA	NA	NA	NA	1	NA
C1orf173	NA	NA	NA	NA	1	NA
C1S	NA	NA	NA	NA	1	NA
C20orf194	NA	NA	NA	NA	1	NA
C20orf26	NA	NA	NA	NA	1	NA
C2CD2	NA	NA	NA	NA	1	NA
C2CD3	NA	NA	NA	NA	1	NA
C2CD5	NA	NA	NA	NA	1	NA
C2orf16	NA	NA	NA	NA	1	NA
C2orf44	NA	NA	NA	NA	0.25075730708921	NA
C2orf71	NA	NA	NA	NA	1	NA
C3	NA	NA	NA	NA	1	NA
C3orf20	NA	NA	NA	NA	1	NA
C3orf67	NA	NA	NA	NA	1	NA
C3orf70	NA	NA	NA	NA	1	NA
C4orf21	NA	NA	NA	NA	1	NA
C5orf42	NA	NA	NA	NA	1	NA
C6orf10	NA	NA	NA	NA	1	NA
C8orf34	NA	NA	NA	NA	1	NA
C8orf76	NA	NA	NA	NA	1	NA
C9	NA	NA	NA	NA	1	NA
C9orf156	NA	NA	NA	NA	1	NA
C9orf3	NA	NA	NA	NA	1	NA
C9orf84	NA	NA	NA	NA	1	NA
CA10	NA	NA	NA	NA	1	NA
CACHD1	NA	NA	NA	NA	1	NA
CACNA1A	NA	NA	NA	NA	1	NA
CACNA1B	NA	NA	NA	NA	1	NA
CACNA1C	NA	NA	NA	NA	1	NA
CACNA1D	NA	NA	NA	NA	1	NA
CACNA1E	NA	NA	NA	NA	1	NA
CACNA1F	NA	NA	NA	NA	1	NA
CACNA1G	NA	NA	NA	NA	1	NA
CACNA1H	NA	NA	NA	NA	1	NA
CACNA1I	NA	NA	NA	NA	1	NA
CACNA1S	NA	NA	NA	NA	1	NA
CACNA2D1	NA	NA	NA	NA	0.903278655363847	NA
CACNA2D4	NA	NA	NA	NA	1	NA
CACNB2	NA	NA	NA	NA	1	NA
CACNG4	NA	NA	NA	NA	1	NA
CAD	NA	NA	NA	NA	1	NA
CADM2	NA	NA	NA	NA	1	NA
CADPS	NA	NA	NA	NA	1	NA
CADPS2	NA	NA	NA	NA	1	NA
CALCR	NA	NA	NA	NA	1	NA
CALCRL	NA	NA	NA	NA	1	NA
CALD1	NA	NA	NA	NA	1	NA
CAMSAP1	NA	NA	NA	NA	1	NA
CAMSAP2	NA	NA	NA	NA	1	NA
CAMSAP3	NA	NA	NA	NA	1	NA
CAMTA1	NA	NA	NA	NA	1	NA
CAMTA2	NA	NA	NA	NA	1	NA
CAND1	NA	NA	NA	NA	1	NA
CAP1	NA	NA	NA	NA	1	NA
CAPRIN1	NA	NA	NA	NA	1	NA
CARD11	NA	NA	NA	NA	1	NA
CARD6	NA	NA	NA	NA	1	NA
CARF	NA	NA	NA	NA	1	NA
CASC4	NA	NA	NA	NA	1	NA
CASC5	NA	NA	NA	NA	1	NA
CASK	NA	NA	NA	NA	1	NA
CASKIN2	NA	NA	NA	NA	1	NA
CASP1	NA	NA	NA	NA	1	NA
CASP5	NA	NA	NA	NA	1	NA
CASZ1	NA	NA	NA	NA	1	NA
CAT	NA	NA	NA	NA	1	NA
CATSPERB	NA	NA	NA	NA	1	NA
CATSPERG	NA	NA	NA	NA	1	NA
CBFA2T2	NA	NA	NA	NA	0.200065586631443	NA
CBLB	NA	NA	NA	NA	1	NA
CC2D1B	NA	NA	NA	NA	1	NA
CC2D2A	NA	NA	NA	NA	1	NA
CCAR1	NA	NA	NA	NA	1	NA
CCDC108	NA	NA	NA	NA	1	NA
CCDC110	NA	NA	NA	NA	1	NA
CCDC132	NA	NA	NA	NA	1	NA
CCDC141	NA	NA	NA	NA	1	NA
CCDC144A	NA	NA	NA	NA	1	NA
CCDC147	NA	NA	NA	NA	1	NA
CCDC150	NA	NA	NA	NA	1	NA
CCDC151	NA	NA	NA	NA	1	NA
CCDC158	NA	NA	NA	NA	1	NA
CCDC171	NA	NA	NA	NA	1	NA
CCDC173	NA	NA	NA	NA	1	NA
CCDC178	NA	NA	NA	NA	1	NA
CCDC18	NA	NA	NA	NA	1	NA
CCDC180	NA	NA	NA	NA	1	NA
CCDC30	NA	NA	NA	NA	1	NA
CCDC36	NA	NA	NA	NA	1	NA
CCDC39	NA	NA	NA	NA	1	NA
CCDC40	NA	NA	NA	NA	1	NA
CCDC47	NA	NA	NA	NA	1	NA
CCDC66	NA	NA	NA	NA	1	NA
CCDC73	NA	NA	NA	NA	1	NA
CCDC82	NA	NA	NA	NA	1	NA
CCDC88A	NA	NA	NA	NA	1	NA
CCDC88B	NA	NA	NA	NA	1	NA
CCDC88C	NA	NA	NA	NA	1	NA
CCDC96	NA	NA	NA	NA	1	NA
CCHCR1	NA	NA	NA	NA	1	NA
CCNB3	NA	NA	NA	NA	1	NA
CCT3	NA	NA	NA	NA	1	NA
CCT6B	NA	NA	NA	NA	1	NA
CCT7	NA	NA	NA	NA	1	NA
CD101	NA	NA	NA	NA	1	NA
CD109	NA	NA	NA	NA	1	NA
